"name","skills","job_title","job_schedule_type","job_location","salary_year_avg","job_posted_date"
"AT&T","powerpoint","Associate Director- Data Insights","Full-time","Anywhere","$255,829.50","2023-06-18 16:03:12"
"AT&T","power bi","Associate Director- Data Insights","Full-time","Anywhere","$255,829.50","2023-06-18 16:03:12"
"AT&T","aws","Associate Director- Data Insights","Full-time","Anywhere","$255,829.50","2023-06-18 16:03:12"
"AT&T","pandas","Associate Director- Data Insights","Full-time","Anywhere","$255,829.50","2023-06-18 16:03:12"
"AT&T","pyspark","Associate Director- Data Insights","Full-time","Anywhere","$255,829.50","2023-06-18 16:03:12"
"AT&T","jupyter","Associate Director- Data Insights","Full-time","Anywhere","$255,829.50","2023-06-18 16:03:12"
"AT&T","excel","Associate Director- Data Insights","Full-time","Anywhere","$255,829.50","2023-06-18 16:03:12"
"AT&T","python","Associate Director- Data Insights","Full-time","Anywhere","$255,829.50","2023-06-18 16:03:12"
"AT&T","sql","Associate Director- Data Insights","Full-time","Anywhere","$255,829.50","2023-06-18 16:03:12"
"AT&T","tableau","Associate Director- Data Insights","Full-time","Anywhere","$255,829.50","2023-06-18 16:03:12"
"AT&T","r","Associate Director- Data Insights","Full-time","Anywhere","$255,829.50","2023-06-18 16:03:12"
"AT&T","azure","Associate Director- Data Insights","Full-time","Anywhere","$255,829.50","2023-06-18 16:03:12"
"AT&T","databricks","Associate Director- Data Insights","Full-time","Anywhere","$255,829.50","2023-06-18 16:03:12"
"Pinterest Job Advertisements","tableau","Data Analyst, Marketing","Full-time","Anywhere","$232,423.00","2023-12-05 20:00:40"
"Pinterest Job Advertisements","hadoop","Data Analyst, Marketing","Full-time","Anywhere","$232,423.00","2023-12-05 20:00:40"
"Pinterest Job Advertisements","r","Data Analyst, Marketing","Full-time","Anywhere","$232,423.00","2023-12-05 20:00:40"
"Pinterest Job Advertisements","python","Data Analyst, Marketing","Full-time","Anywhere","$232,423.00","2023-12-05 20:00:40"
"Pinterest Job Advertisements","sql","Data Analyst, Marketing","Full-time","Anywhere","$232,423.00","2023-12-05 20:00:40"
"Noom","tableau","Lead Business Intelligence Engineer","Full-time","Anywhere","$220,000.00","2023-08-29 18:26:36"
"Noom","sql","Lead Business Intelligence Engineer","Full-time","Anywhere","$220,000.00","2023-08-29 18:26:36"
"Noom","python","Lead Business Intelligence Engineer","Full-time","Anywhere","$220,000.00","2023-08-29 18:26:36"
"Noom","excel","Lead Business Intelligence Engineer","Full-time","Anywhere","$220,000.00","2023-08-29 18:26:36"
"Noom","chef","Lead Business Intelligence Engineer","Full-time","Anywhere","$220,000.00","2023-08-29 18:26:36"
"Noom","looker","Lead Business Intelligence Engineer","Full-time","Anywhere","$220,000.00","2023-08-29 18:26:36"
"Uclahealthcareers","tableau","Data Analyst (Hybrid/Remote)","Full-time","Anywhere","$217,000.00","2023-01-17 00:17:23"
"Uclahealthcareers","crystal","Data Analyst (Hybrid/Remote)","Full-time","Anywhere","$217,000.00","2023-01-17 00:17:23"
"Uclahealthcareers","flow","Data Analyst (Hybrid/Remote)","Full-time","Anywhere","$217,000.00","2023-01-17 00:17:23"
"Uclahealthcareers","oracle","Data Analyst (Hybrid/Remote)","Full-time","Anywhere","$217,000.00","2023-01-17 00:17:23"
"Uclahealthcareers","sql","Data Analyst (Hybrid/Remote)","Full-time","Anywhere","$217,000.00","2023-01-17 00:17:23"
"Uber","python","Manager II, Applied Science - Marketplace Dynamics","Full-time","Anywhere","$214,500.00","2023-12-18 08:02:37"
"SmartAsset","go","Principal Data Analyst (Remote)","Full-time","Anywhere","$205,000.00","2023-08-09 11:00:01"
"SmartAsset","gitlab","Principal Data Analyst (Remote)","Full-time","Anywhere","$205,000.00","2023-08-09 11:00:01"
"SmartAsset","tableau","Principal Data Analyst (Remote)","Full-time","Anywhere","$205,000.00","2023-08-09 11:00:01"
"SmartAsset","excel","Principal Data Analyst (Remote)","Full-time","Anywhere","$205,000.00","2023-08-09 11:00:01"
"SmartAsset","numpy","Principal Data Analyst (Remote)","Full-time","Anywhere","$205,000.00","2023-08-09 11:00:01"
"SmartAsset","pandas","Principal Data Analyst (Remote)","Full-time","Anywhere","$205,000.00","2023-08-09 11:00:01"
"SmartAsset","snowflake","Principal Data Analyst (Remote)","Full-time","Anywhere","$205,000.00","2023-08-09 11:00:01"
"SmartAsset","sql","Principal Data Analyst (Remote)","Full-time","Anywhere","$205,000.00","2023-08-09 11:00:01"
"SmartAsset","python","Principal Data Analyst (Remote)","Full-time","Anywhere","$205,000.00","2023-08-09 11:00:01"
"Harnham","sql","Senior Economy Designer","Full-time","Anywhere","$190,000.00","2023-06-21 18:11:35"
"Harnham","python","Senior Economy Designer","Full-time","Anywhere","$190,000.00","2023-06-21 18:11:35"
"Harnham","r","Senior Economy Designer","Full-time","Anywhere","$190,000.00","2023-06-21 18:11:35"
"Inclusively","jira","Director, Data Analyst - HYBRID","Full-time","Anywhere","$189,309.00","2023-12-07 15:00:13"
"Inclusively","azure","Director, Data Analyst - HYBRID","Full-time","Anywhere","$189,309.00","2023-12-07 15:00:13"
